ABORTION	FELONY	4
ADMINISTRATIVE CODE	MISDEMEANOR	9937
ADMINISTRATIVE CODE	VIOLATION	1464
AGRICULTURE & MRKTS LAW-UNCLASSIFIED	MISDEMEANOR	83
ALCOHOLIC BEVERAGE CONTROL LAW	MISDEMEANOR	750
ANTICIPATORY OFFENSES	MISDEMEANOR	95
ARSON	FELONY	13984
ASSAULT 3 & RELATED OFFENSES	MISDEMEANOR	521538
BURGLAR'S TOOLS	MISDEMEANOR	2477
BURGLARY	FELONY	191406
CHILD ABANDONMENT/NON SUPPORT	FELONY	367
CRIMINAL MISCHIEF & RELATED OF	FELONY	72416
CRIMINAL MISCHIEF & RELATED OF	MISDEMEANOR	433358
CRIMINAL TRESPASS	MISDEMEANOR	66544
DANGEROUS DRUGS	FELONY	62679
DANGEROUS DRUGS	MISDEMEANOR	285790
DANGEROUS WEAPONS	FELONY	50563
DANGEROUS WEAPONS	MISDEMEANOR	73672
DISORDERLY CONDUCT	VIOLATION	829
DISRUPTION OF A RELIGIOUS SERV	MISDEMEANOR	47
ENDAN WELFARE INCOMP	FELONY	22
ENDAN WELFARE INCOMP	MISDEMEANOR	122
ESCAPE 3	MISDEMEANOR	167
FELONY ASSAULT	FELONY	184069
FORGERY	FELONY	49303
FORTUNE TELLING	MISDEMEANOR	11
FRAUDS	MISDEMEANOR	32054
FRAUDULENT ACCOSTING	MISDEMEANOR	2645
GAMBLING	FELONY	122
GAMBLING	MISDEMEANOR	1901
GRAND LARCENY	FELONY	429196
GRAND LARCENY OF MOTOR VEHICLE	FELONY	102061
HARRASSMENT 2	VIOLATION	604070
HOMICIDE-NEGLIGENT,UNCLASSIFIE	FELONY	33
HOMICIDE-NEGLIGENT-VEHICLE	FELONY	93
INTOXICATED & IMPAIRED DRIVING	FELONY	48
INTOXICATED & IMPAIRED DRIVING	MISDEMEANOR	73730
JOSTLING	MISDEMEANOR	299
KIDNAPPING & RELATED OFFENSES	FELONY	2304
LOITERING	VIOLATION	20
LOITERING FOR DRUG PURPOSES	MISDEMEANOR	23
LOITERING/DEVIATE SEX	VIOLATION	16
LOITERING/GAMBLING (CARDS, DIC	VIOLATION	207
MISCELLANEOUS PENAL LAW	FELONY	110468
MISCELLANEOUS PENAL LAW	VIOLATION	8253
MURDER & NON-NEGL. MANSLAUGHTER	FELONY	4574
NEW YORK CITY HEALTH CODE	MISDEMEANOR	44
NEW YORK CITY HEALTH CODE	VIOLATION	31
NYS LAWS-UNCLASSIFIED FELONY	FELONY	3755
NYS LAWS-UNCLASSIFIED VIOLATION	VIOLATION	6
OFF. AGNST PUB ORD SENSBLTY &	MISDEMEANOR	283065
OFFENSES AGAINST MARRIAGE UNCL	MISDEMEANOR	3
OFFENSES AGAINST PUBLIC ADMINI	MISDEMEANOR	100118
OFFENSES AGAINST PUBLIC SAFETY	MISDEMEANOR	810
OFFENSES AGAINST THE PERSON	MISDEMEANOR	12339
OFFENSES INVOLVING FRAUD	MISDEMEANOR	17737
OFFENSES RELATED TO CHILDREN	MISDEMEANOR	1346
OTHER OFFENSES RELATED TO THEF	MISDEMEANOR	9731
OTHER STATE LAWS	VIOLATION	233
OTHER STATE LAWS (NON PENAL LAW)	MISDEMEANOR	5509
OTHER TRAFFIC INFRACTION	VIOLATION	13
PETIT LARCENY	MISDEMEANOR	822498
PETIT LARCENY OF MOTOR VEHICLE	MISDEMEANOR	908
POSSESSION OF STOLEN PROPERTY	FELONY	9112
POSSESSION OF STOLEN PROPERTY	MISDEMEANOR	20376
PROSTITUTION & RELATED OFFENSES	FELONY	122
PROSTITUTION & RELATED OFFENSES	MISDEMEANOR	720
RAPE	FELONY	13791
ROBBERY	FELONY	198772
SEX CRIMES	FELONY	10853
SEX CRIMES	MISDEMEANOR	44117
THEFT OF SERVICES	MISDEMEANOR	2778
THEFT-FRAUD	FELONY	56762
UNAUTHORIZED USE OF A VEHICLE	MISDEMEANOR	13826
UNDER THE INFLUENCE OF DRUGS	VIOLATION	3
UNLAWFUL POSS. WEAP. ON SCHOOL	VIOLATION	59
VEHICLE AND TRAFFIC LAWS	MISDEMEANOR	59140